State,<1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"Unborn, Unknown, and 18–21", Total Victims,"<1 Rate per 1,000 Children","1 Rate per 1,000 Children","2 Rate per 1,000 Children","3 Rate per 1,000 Children","4 Rate per 1,000 Children","5 Rate per 1,000 Children","6 Rate per 1,000 Children","7 Rate per 1,000 Children","8 Rate per 1,000 Children","9 Rate per 1,000 Children","10 Rate per 1,000 Children","11 Rate per 1,000 Children","12 Rate per 1,000 Children","13 Rate per 1,000 Children","14 Rate per 1,000 Children","15 Rate per 1,000 Children","16 Rate per 1,000 Children","17 Rate per 1,000 Children"
Minnesota,1010,427,441,407,400,412,384,360,347,348,369,328,349,287,261,264,212,163,11,6780,14.9,6.2,6.2,5.7,5.5,5.6,5.3,5,4.8,4.8,5.1,4.4,4.7,3.9,3.5,3.5,2.9,2.3
Mississippi,1225,530,455,477,477,500,486,498,473,504,500,523,556,505,474,513,415,243,23,9377,34.5,14.6,12.3,12.8,12.7,13.4,13.1,13.1,12.4,13.1,12.5,12.5,13,12.3,11.7,12.8,10.4,6.2
Missouri,317,273,267,299,268,232,244,244,258,275,266,238,267,288,298,330,266,131,1,4762,4.5,3.8,3.6,4,3.5,3.1,3.2,3.2,3.4,3.6,3.5,3,3.4,3.7,3.8,4.2,3.4,1.7
Montana,457,286,273,271,261,241,209,202,194,187,186,186,193,144,127,117,107,64,31,3736,39.2,24.8,22.1,21.4,20.2,18.7,16.4,15.8,15.3,14.6,14.5,14,14.4,11,9.9,9.1,8.4,5.1
Nebraska,368,201,208,176,194,194,155,144,138,143,127,131,111,107,119,116,91,78,21,2822,14.6,7.9,7.9,6.6,7.1,7.2,5.9,5.5,5.2,5.4,4.7,4.8,4.1,4,4.4,4.4,3.4,3
Nevada,805,358,365,315,337,258,280,271,251,255,251,209,205,198,193,179,146,118,5,4999,22.5,10,9.8,8.3,8.7,6.8,7.3,7.1,6.4,6.5,6.5,5.1,5.1,5,4.9,4.6,3.8,3.1
New Hampshire,165,92,84,82,68,65,60,64,60,67,58,63,52,61,51,40,45,37,3,1217,13.7,7.5,6.5,6.3,5.1,4.9,4.4,4.7,4.2,4.8,4.1,4.3,3.4,4,3.3,2.5,2.8,2.3
New Jersey,684,300,266,303,282,301,271,263,276,271,252,294,254,272,248,246,179,154,16,5132,6.9,3,2.6,2.9,2.7,2.9,2.6,2.5,2.5,2.5,2.4,2.7,2.3,2.4,2.2,2.2,1.6,1.4
New Mexico,1115,489,446,445,451,469,492,470,468,479,471,407,348,363,334,273,260,182,63,8025,48.4,21,18.6,17.8,17.6,18.1,18.8,17.9,17.3,17.6,17.1,14.5,12.4,13,12,10,9.4,6.6
New York,6444,4001,3837,3741,3659,3924,4126,3971,3836,3696,3712,3598,3457,3359,3412,3492,3124,1738,142,67269,28.8,17.9,17,16.5,16.1,17.6,18.4,17.7,17,16.8,17.3,16.3,15.6,15.2,15.3,15.4,13.7,7.6
